Area,County,CancerType,Year,Sex,AgeAdjustedRate,CaseCount,Population
'New York','Queens County','Lung and Bronchus','2013-2017','Male and Female','43.5','5841','11501853'
'New York','Bronx County','Lung and Bronchus','2013-2017','Male and Female','45.8','3232','7179566'
'New York','Kings County','Lung and Bronchus','2013-2017','Male and Female','46.2','6217','13009405'
'New York','New York County','Lung and Bronchus','2013-2017','Male and Female','47.1','4575','8161506'
'New York','Westchester County','Lung and Bronchus','2013-2017','Male and Female','47.7','2957','4841267'
'New York','Richmond County','Lung and Bronchus','2013-2017','Male and Female','67.3','1902','2366224'
'New York','Suffolk County','Lung and Bronchus','2013-2017','Male and Female','67.7','6310','7455899'
'New York','Tompkins County','Lung and Bronchus','2013-2017','Male and Female','52.1','273','515572'
'New York','Chautauqua County','Lung and Bronchus','2013-2017','Male and Female','69.9','647','653191'
'New York','Cattaraugus County','Lung and Bronchus','2013-2017','Male and Female','67.5','373','390589'
'New York','Essex County','Lung and Bronchus','2013-2017','Male and Female','67.4','213','190042'
'New York','Nassau County','Lung and Bronchus','2013-2017','Male and Female','53.6','4787','6776874'
'New York','Dutchess County','Lung and Bronchus','2013-2017','Male and Female','59.9','1160','1472025'
'New York','Tioga County','Lung and Bronchus','2013-2017','Male and Female','64.0','230','246775'
'New York','Rockland County','Lung and Bronchus','2013-2017','Male and Female','49.2','929','1612063'
'New York','Allegany County','Lung and Bronchus','2013-2017','Male and Female','78.7','255','236589'
'New York','Orleans County','Lung and Bronchus','2013-2017','Male and Female','79.9','222','207482'
'New York','Cayuga County','Lung and Bronchus','2013-2017','Male and Female','83.5','447','391287'
'New York','Chenango County','Lung and Bronchus','2013-2017','Male and Female','72.0','262','243684'
'New York','Fulton County','Lung and Bronchus','2013-2017','Male and Female','88.6','340','269485'
'New York','Greene County','Lung and Bronchus','2013-2017','Male and Female','80.8','300','238899'
'New York','Niagara County','Lung and Bronchus','2013-2017','Male and Female','82.4','1225','1062198'
'New York','Hamilton County','Lung and Bronchus','2013-2017','Male and Female','92.9','42','23203'
'New York','Saratoga County','Lung and Bronchus','2013-2017','Male and Female','71.3','1049','1130803'
'New York','Franklin County','Lung and Bronchus','2013-2017','Male and Female','79.9','251','254378'
'New York','Montgomery County','Lung and Bronchus','2013-2017','Male and Female','74.1','258','247412'
'New York','Ontario County','Lung and Bronchus','2013-2017','Male and Female','69.9','535','546538'
'New York','Yates County','Lung and Bronchus','2013-2017','Male and Female','69.0','123','125410'
'New York','Otsego County','Lung and Bronchus','2013-2017','Male and Female','55.1','247','303084'
'New York','Delaware County','Lung and Bronchus','2013-2017','Male and Female','68.0','256','229782'
'New York','Orange County','Lung and Bronchus','2013-2017','Male and Female','62.2','1235','1883722'
'New York','Schenectady County','Lung and Bronchus','2013-2017','Male and Female','67.9','679','774024'
'New York','Ulster County','Lung and Bronchus','2013-2017','Male and Female','69.3','877','898615'
'New York','Lewis County','Lung and Bronchus','2013-2017','Male and Female','56.2','101','134249'
'New York','Monroe County','Lung and Bronchus','2013-2017','Male and Female','62.6','2920','3727094'
'New York','Genesee County','Lung and Bronchus','2013-2017','Male and Female','72.5','295','292172'
'New York','Oneida County','Lung and Bronchus','2013-2017','Male and Female','72.3','1139','1157691'
'New York','Columbia County','Lung and Bronchus','2013-2017','Male and Female','73.5','364','306841'
'New York','Clinton County','Lung and Bronchus','2013-2017','Male and Female','91.3','468','404790'
'New York','Schuyler County','Lung and Bronchus','2013-2017','Male and Female','76.4','107','90422'
'New York','Steuben County','Lung and Bronchus','2013-2017','Male and Female','75.1','516','487686'
'New York','Cortland County','Lung and Bronchus','2013-2017','Male and Female','84.4','245','241701'
'New York','Washington County','Lung and Bronchus','2013-2017','Male and Female','73.7','322','310694'
'New York','St. Lawrence County','Lung and Bronchus','2013-2017','Male and Female','75.0','525','551669'
'New York','Madison County','Lung and Bronchus','2013-2017','Male and Female','74.6','359','358455'
'New York','Herkimer County','Lung and Bronchus','2013-2017','Male and Female','77.8','348','314574'
'New York','Sullivan County','Lung and Bronchus','2013-2017','Male and Female','70.6','368','377506'
'New York','Putnam County','Lung and Bronchus','2013-2017','Male and Female','64.4','409','496040'
'New York','Broome County','Lung and Bronchus','2013-2017','Male and Female','66.4','882','978260'
'New York','Wayne County','Lung and Bronchus','2013-2017','Male and Female','75.5','466','456566'
'New York','Wyoming County','Lung and Bronchus','2013-2017','Male and Female','66.2','176','204093'
'New York','Jefferson County','Lung and Bronchus','2013-2017','Male and Female','92.6','530','579001'
'New York','Rensselaer County','Lung and Bronchus','2013-2017','Male and Female','82.2','824','797250'
'New York','Chemung County','Lung and Bronchus','2013-2017','Male and Female','73.3','433','432639'
'New York','Erie County','Lung and Bronchus','2013-2017','Male and Female','72.7','4451','4600493'
'New York','Seneca County','Lung and Bronchus','2013-2017','Male and Female','76.0','187','173986'
'New York','Onondaga County','Lung and Bronchus','2013-2017','Male and Female','75.0','2202','2327580'
'New York','Schoharie County','Lung and Bronchus','2013-2017','Male and Female','66.9','158','157629'
'New York','Warren County','Lung and Bronchus','2013-2017','Male and Female','81.7','416','323222'
'New York','Albany County','Lung and Bronchus','2013-2017','Male and Female','71.2','1344','1536624'
'New York','Oswego County','Lung and Bronchus','2013-2017','Male and Female','97.5','721','598792'
'New York','Livingston County','Lung and Bronchus','2013-2017','Male and Female','67.3','284','320927'
